<Mach-1 File>
<INFO>
Date:	Wed, May 18, 2022
Time:	13:23:08.030
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.995755
Load Cell Offset:	-4.896250
Load Cell Calibration Date:	2022-05-18
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-7.8000
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-7.799600	-0.013692
0.010000	-7.799600	-0.012447
0.020000	-7.799600	-0.012447
0.030000	-7.799600	-0.011202
0.040000	-7.799600	-0.011202
0.050000	-7.799600	-0.011202
0.060000	-7.799600	-0.011202
0.070000	-7.799600	-0.012447
0.080000	-7.799600	-0.012447
0.090000	-7.799600	-0.011202
0.100000	-7.799600	-0.012447
0.110000	-7.799600	-0.012447
0.120000	-7.799600	-0.012447
0.130000	-7.799600	-0.013692
0.140000	-7.799600	-0.012447
0.150000	-7.799600	-0.011202
0.160000	-7.799600	-0.011202
0.170000	-7.799600	-0.012447
0.180000	-7.799600	-0.012447
0.190000	-7.799600	-0.011202
0.200000	-7.799600	-0.012447
0.210000	-7.799600	-0.013692
0.220000	-7.799600	-0.012447
0.230000	-7.799600	-0.012447
0.240000	-7.799600	-0.011202
0.250000	-7.799600	-0.013692
0.260000	-7.799600	-0.012447
0.270000	-7.799600	-0.013692
0.280000	-7.799600	-0.012447
0.290000	-7.799600	-0.012447
0.300000	-7.799600	-0.011202
0.310000	-7.799600	-0.012447
0.320000	-7.799600	-0.012447
0.330000	-7.799600	-0.013692
0.340000	-7.799600	-0.012447
0.350000	-7.799600	-0.012447
0.360000	-7.799600	-0.012447
0.370000	-7.799600	-0.012447
0.380000	-7.799600	-0.012447
0.390000	-7.799600	-0.012447
0.400000	-7.799600	-0.012447
0.410000	-7.799600	-0.012447
0.420000	-7.799600	-0.012447
0.430000	-7.799600	-0.012447
0.440000	-7.799600	-0.011202
0.450000	-7.799600	-0.011202
0.460000	-7.799600	-0.011202
0.470000	-7.799600	-0.012447
0.480000	-7.799600	-0.013692
0.490000	-7.799600	-0.012447
0.500000	-7.799600	-0.012447
0.510000	-7.799700	-0.012447
0.520000	-7.799700	-0.013692
0.530000	-7.799700	-0.012447
0.540000	-7.799700	-0.012447
0.550000	-7.799700	-0.012447
0.560000	-7.799700	-0.012447
0.570000	-7.799800	-0.011202
0.580000	-7.799800	-0.012447
0.590000	-7.799800	-0.012447
0.600000	-7.799900	-0.013692
0.610000	-7.799900	-0.012447
0.620000	-7.799900	-0.012447
0.630000	-7.800000	-0.011202
0.640000	-7.800000	-0.009958
0.650000	-7.800000	-0.011202
0.660000	-7.800000	-0.013692
0.670000	-7.800000	-0.013692
