<Mach-1 File>
<INFO>
Date:	Thu, May 19, 2022
Time:	12:19:39.348
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994603
Load Cell Offset:	-4.856250
Load Cell Calibration Date:	2022-05-19
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-7.0500
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-7.003100	-0.004973
0.010000	-7.003100	-0.004973
0.020000	-7.003100	-0.004973
0.030000	-7.003100	-0.003730
0.040000	-7.003100	-0.003730
0.050000	-7.003100	-0.004973
0.060000	-7.003100	-0.004973
0.070000	-7.003100	-0.003730
0.080000	-7.003100	-0.003730
0.090000	-7.003100	-0.003730
0.100000	-7.003100	-0.004973
0.110000	-7.003100	-0.003730
0.120000	-7.003100	-0.004973
0.130000	-7.003100	-0.006216
0.140000	-7.003100	-0.004973
0.150000	-7.003100	-0.004973
0.160000	-7.003100	-0.004973
0.170000	-7.003100	-0.004973
0.180000	-7.003100	-0.003730
0.190000	-7.003100	-0.004973
0.200000	-7.003100	-0.006216
0.210000	-7.003900	-0.006216
0.220000	-7.008700	-0.011189
0.230000	-7.014200	-0.019892
0.240000	-7.015600	-0.001243
0.250000	-7.019300	-0.001243
0.260000	-7.021800	-0.004973
0.270000	-7.024500	-0.007460
0.280000	-7.027000	-0.007460
0.290000	-7.029500	-0.007460
0.300000	-7.032500	-0.009946
0.310000	-7.034700	-0.008703
0.320000	-7.037300	-0.007460
0.330000	-7.039600	-0.008703
0.340000	-7.042700	-0.009946
0.350000	-7.044700	-0.007460
0.360000	-7.046800	-0.007460
0.370000	-7.048600	-0.006216
0.380000	-7.049900	-0.006216
0.390000	-7.050400	-0.007460
0.400000	-7.050600	-0.007460
0.410000	-7.050600	-0.007460
0.420000	-7.050600	-0.007460
0.430000	-7.050600	-0.009946
0.440000	-7.050600	-0.009946
0.450000	-7.050600	-0.009946
0.460000	-7.050600	-0.008703
0.470000	-7.050600	-0.008703
0.480000	-7.050600	-0.008703
0.490000	-7.050600	-0.008703
0.500000	-7.050600	-0.009946
0.510000	-7.050600	-0.008703
0.520000	-7.050600	-0.008703
0.530000	-7.050600	-0.007460
0.540000	-7.050600	-0.007460
0.550000	-7.050600	-0.008703
0.560000	-7.050600	-0.008703
0.570000	-7.050600	-0.007460
0.580000	-7.050600	-0.007460
0.590000	-7.050600	-0.008703
0.600000	-7.050600	-0.008703
0.610000	-7.050600	-0.008703
0.620000	-7.050600	-0.009946
0.630000	-7.050600	-0.008703
0.640000	-7.050600	-0.006216
0.650000	-7.050600	-0.007460
0.660000	-7.050600	-0.008703
0.670000	-7.050600	-0.009946
0.680000	-7.050600	-0.008703
0.690000	-7.050600	-0.008703
0.700000	-7.050600	-0.011189
0.710000	-7.050500	-0.008703
0.720000	-7.050500	-0.008703
0.730000	-7.050500	-0.008703
0.740000	-7.050400	-0.008703
0.750000	-7.050400	-0.009946
0.760000	-7.050400	-0.009946
0.770000	-7.050300	-0.009946
0.780000	-7.050300	-0.008703
0.790000	-7.050300	-0.007460
0.800000	-7.050200	-0.008703
0.810000	-7.050200	-0.008703
0.820000	-7.050200	-0.008703
0.830000	-7.050200	-0.009946
0.840000	-7.050100	-0.009946
0.850000	-7.050100	-0.009946
0.860000	-7.050100	-0.008703
0.870000	-7.050100	-0.007460
0.880000	-7.050100	-0.007460
0.890000	-7.050100	-0.008703
0.900000	-7.050000	-0.009946
0.910000	-7.050000	-0.009946
0.920000	-7.050000	-0.009946
0.930000	-7.050000	-0.008703
0.940000	-7.050000	-0.008703
0.950000	-7.050000	-0.007460
0.960000	-7.050000	-0.008703
0.970000	-7.050000	-0.009946
0.980000	-7.050000	-0.008703
0.990000	-7.050000	-0.007460
1.000000	-7.050000	-0.007460
1.010000	-7.050000	-0.007460
1.020000	-7.050000	-0.008703
1.030000	-7.050000	-0.009946
1.040000	-7.050000	-0.009946
1.050000	-7.049900	-0.007460
1.060000	-7.049900	-0.007460
1.070000	-7.049900	-0.008703
1.080000	-7.049900	-0.009946
1.090000	-7.049900	-0.011189
1.100000	-7.049900	-0.009946
1.110000	-7.049900	-0.008703
1.120000	-7.049900	-0.009946
1.130000	-7.049900	-0.009946
1.140000	-7.049900	-0.009946
1.150000	-7.049900	-0.007460
1.160000	-7.049900	-0.007460
1.170000	-7.049900	-0.009946
1.180000	-7.049900	-0.008703
1.190000	-7.049900	-0.008703
<END DATA>
<INFO>
Date:	Thu, May 19, 2022
Time:	12:19:40.548
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994603
Load Cell Offset:	-4.856250
Load Cell Calibration Date:	2022-05-19
<END INFO>
<Zero Load>
Function without controls
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-7.049900	-0.006216
0.010000	-7.049900	-0.007460
0.020000	-7.049900	-0.009946
0.030000	-7.049900	-0.011189
0.040000	-7.049900	-0.009946
0.050000	-7.049900	-0.008703
0.060000	-7.049900	-0.007460
0.070000	-7.049900	-0.007460
0.080000	-7.049900	-0.007460
0.090000	-7.049900	-0.008703
<END DATA>
<INFO>
Date:	Thu, May 19, 2022
Time:	12:19:40.648
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994603
Load Cell Offset:	-4.856250
Load Cell Calibration Date:	2022-05-19
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	0.005000
Stage Velocity, mm/s:	0.0050
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-7.049900	0.000000
0.010000	-7.049900	0.001243
0.020000	-7.049900	0.000000
0.030000	-7.049900	0.001243
0.040000	-7.049900	0.001243
0.050000	-7.049900	0.002487
0.060000	-7.049900	0.001243
0.070000	-7.049900	0.001243
0.080000	-7.049900	0.000000
0.090000	-7.049900	0.000000
0.100000	-7.049900	0.000000
0.110000	-7.049900	0.001243
0.120000	-7.049900	0.002487
0.130000	-7.049900	0.001243
0.140000	-7.049900	0.001243
0.150000	-7.049900	0.000000
0.160000	-7.049900	0.001243
0.170000	-7.049900	0.001243
0.180000	-7.049900	-0.001243
0.190000	-7.049900	0.001243
0.200000	-7.049900	0.002487
0.210000	-7.049900	0.001243
0.220000	-7.049900	0.001243
0.230000	-7.049900	0.001243
0.240000	-7.049900	0.001243
0.250000	-7.049900	0.000000
0.260000	-7.049900	0.000000
0.270000	-7.049900	0.001243
0.280000	-7.049900	-0.001243
0.290000	-7.049900	0.000000
0.300000	-7.049900	0.002487
0.310000	-7.049900	0.002487
0.320000	-7.049900	0.001243
0.330000	-7.049900	0.000000
0.340000	-7.049900	0.001243
0.350000	-7.049900	0.000000
0.360000	-7.049900	0.001243
0.370000	-7.049900	0.001243
0.380000	-7.049900	0.001243
0.390000	-7.049900	0.000000
0.400000	-7.049900	0.001243
0.410000	-7.049900	0.000000
0.420000	-7.049900	-0.001243
0.430000	-7.049900	0.001243
