<Mach-1 File>
<INFO>
Date:	Thu, May 19, 2022
Time:	14:09:51.048
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994603
Load Cell Offset:	-4.856250
Load Cell Calibration Date:	2022-05-19
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-7.2000
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-8.000000	-0.022379
0.010000	-8.000000	-0.023622
0.020000	-8.000000	-0.022379
0.030000	-8.000000	-0.022379
0.040000	-8.000000	-0.022379
0.050000	-8.000000	-0.023622
0.060000	-8.000000	-0.023622
0.070000	-8.000000	-0.022379
0.080000	-8.000000	-0.023622
0.090000	-8.000000	-0.023622
0.100000	-8.000000	-0.023622
0.110000	-8.000000	-0.022379
0.120000	-8.000000	-0.023622
0.130000	-8.000000	-0.022379
0.140000	-8.000000	-0.023622
0.150000	-8.000000	-0.023622
0.160000	-8.000000	-0.023622
0.170000	-8.000000	-0.022379
0.180000	-8.000000	-0.022379
0.190000	-8.000000	-0.023622
0.200000	-8.000000	-0.024865
0.210000	-7.999700	-0.022379
0.220000	-7.996100	-0.017406
0.230000	-7.988300	-0.006216
0.240000	-7.987100	-0.022379
0.250000	-7.983800	-0.029838
0.260000	-7.980600	-0.024865
0.270000	-7.978300	-0.023622
0.280000	-7.975700	-0.023622
0.290000	-7.973200	-0.024865
0.300000	-7.970500	-0.022379
0.310000	-7.968200	-0.024865
0.320000	-7.965500	-0.022379
0.330000	-7.962600	-0.022379
0.340000	-7.960400	-0.022379
0.350000	-7.957700	-0.023622
0.360000	-7.955400	-0.024865
0.370000	-7.953000	-0.023622
0.380000	-7.950800	-0.022379
0.390000	-7.947900	-0.022379
0.400000	-7.945300	-0.021135
0.410000	-7.943100	-0.023622
0.420000	-7.940700	-0.023622
0.430000	-7.938000	-0.022379
0.440000	-7.935800	-0.022379
0.450000	-7.933000	-0.022379
0.460000	-7.930200	-0.022379
0.470000	-7.927800	-0.022379
0.480000	-7.925300	-0.023622
0.490000	-7.922900	-0.022379
0.500000	-7.920500	-0.022379
0.510000	-7.917700	-0.021135
0.520000	-7.915400	-0.023622
0.530000	-7.913000	-0.023622
0.540000	-7.910000	-0.021135
0.550000	-7.907800	-0.022379
0.560000	-7.905400	-0.023622
0.570000	-7.902800	-0.023622
0.580000	-7.900400	-0.022379
0.590000	-7.897900	-0.023622
0.600000	-7.895500	-0.022379
0.610000	-7.892700	-0.021135
0.620000	-7.890400	-0.021135
0.630000	-7.888100	-0.023622
0.640000	-7.885200	-0.021135
0.650000	-7.883000	-0.023622
0.660000	-7.880000	-0.022379
0.670000	-7.877700	-0.022379
