<Mach-1 File>
<INFO>
Date:	Tue, May 31, 2022
Time:	12:58:55.724
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994795
Load Cell Offset:	-4.881250
Load Cell Calibration Date:	2022-05-31
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-1.1250
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.102200	-0.011191
0.010000	-1.102200	-0.011191
0.020000	-1.102200	-0.009948
0.030000	-1.102200	-0.009948
0.040000	-1.102200	-0.011191
0.050000	-1.102200	-0.011191
0.060000	-1.102200	-0.012435
0.070000	-1.102200	-0.011191
0.080000	-1.102200	-0.011191
0.090000	-1.102200	-0.009948
0.100000	-1.102200	-0.011191
0.110000	-1.102200	-0.011191
0.120000	-1.102200	-0.012435
0.130000	-1.102200	-0.013678
0.140000	-1.102200	-0.012435
0.150000	-1.102200	-0.012435
0.160000	-1.102200	-0.011191
0.170000	-1.102200	-0.012435
0.180000	-1.102200	-0.011191
0.190000	-1.102200	-0.011191
0.200000	-1.102200	-0.012435
0.210000	-1.103200	-0.013678
0.220000	-1.108600	-0.022383
0.230000	-1.113100	-0.023626
0.240000	-1.115200	-0.008704
0.250000	-1.119200	-0.008704
0.260000	-1.121000	-0.008704
0.270000	-1.122700	-0.007461
0.280000	-1.124100	-0.008704
0.290000	-1.125000	-0.009948
0.300000	-1.125400	-0.009948
0.310000	-1.125500	-0.011191
0.320000	-1.125500	-0.011191
0.330000	-1.125500	-0.011191
0.340000	-1.125500	-0.011191
0.350000	-1.125500	-0.011191
0.360000	-1.125500	-0.012435
0.370000	-1.125500	-0.012435
0.380000	-1.125500	-0.012435
0.390000	-1.125500	-0.011191
0.400000	-1.125500	-0.012435
0.410000	-1.125500	-0.012435
0.420000	-1.125500	-0.012435
0.430000	-1.125500	-0.012435
0.440000	-1.125500	-0.012435
0.450000	-1.125500	-0.012435
0.460000	-1.125500	-0.011191
0.470000	-1.125500	-0.012435
0.480000	-1.125500	-0.012435
0.490000	-1.125500	-0.012435
0.500000	-1.125500	-0.011191
0.510000	-1.125500	-0.012435
0.520000	-1.125500	-0.012435
0.530000	-1.125500	-0.012435
0.540000	-1.125500	-0.012435
0.550000	-1.125500	-0.011191
0.560000	-1.125500	-0.011191
0.570000	-1.125500	-0.011191
0.580000	-1.125500	-0.013678
0.590000	-1.125500	-0.012435
0.600000	-1.125500	-0.011191
0.610000	-1.125500	-0.012435
0.620000	-1.125500	-0.011191
0.630000	-1.125500	-0.012435
0.640000	-1.125500	-0.013678
0.650000	-1.125500	-0.012435
0.660000	-1.125500	-0.011191
0.670000	-1.125400	-0.011191
0.680000	-1.125400	-0.011191
0.690000	-1.125400	-0.011191
0.700000	-1.125400	-0.012435
0.710000	-1.125400	-0.012435
0.720000	-1.125300	-0.012435
0.730000	-1.125300	-0.012435
0.740000	-1.125300	-0.012435
0.750000	-1.125300	-0.011191
0.760000	-1.125200	-0.011191
0.770000	-1.125200	-0.012435
0.780000	-1.125200	-0.012435
0.790000	-1.125200	-0.011191
0.800000	-1.125100	-0.011191
0.810000	-1.125100	-0.012435
0.820000	-1.125100	-0.012435
0.830000	-1.125100	-0.012435
0.840000	-1.125100	-0.012435
0.850000	-1.125100	-0.011191
0.860000	-1.125100	-0.012435
0.870000	-1.125000	-0.012435
0.880000	-1.125000	-0.012435
0.890000	-1.125000	-0.012435
0.900000	-1.125000	-0.012435
0.910000	-1.125000	-0.011191
0.920000	-1.125000	-0.012435
0.930000	-1.125000	-0.011191
0.940000	-1.125000	-0.011191
0.950000	-1.125000	-0.011191
0.960000	-1.125000	-0.012435
0.970000	-1.125000	-0.012435
0.980000	-1.125000	-0.012435
0.990000	-1.125000	-0.012435
1.000000	-1.125000	-0.011191
1.010000	-1.125000	-0.012435
1.020000	-1.125000	-0.012435
1.030000	-1.125000	-0.012435
1.040000	-1.125000	-0.011191
1.050000	-1.125000	-0.011191
1.060000	-1.125000	-0.012435
1.070000	-1.125000	-0.013678
1.080000	-1.124900	-0.013678
1.090000	-1.124900	-0.012435
1.100000	-1.124900	-0.011191
1.110000	-1.124900	-0.011191
1.120000	-1.124900	-0.011191
1.130000	-1.124900	-0.011191
1.140000	-1.124900	-0.012435
1.150000	-1.124900	-0.012435
1.160000	-1.124900	-0.011191
1.170000	-1.124900	-0.012435
1.180000	-1.124900	-0.012435
1.190000	-1.124900	-0.013678
<END DATA>
<INFO>
Date:	Tue, May 31, 2022
Time:	12:58:56.924
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994795
Load Cell Offset:	-4.881250
Load Cell Calibration Date:	2022-05-31
<END INFO>
<Zero Load>
Function without controls
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.124900	-0.012435
0.010000	-1.124900	-0.012435
0.020000	-1.124900	-0.011191
0.030000	-1.124900	-0.012435
0.040000	-1.124900	-0.012435
0.050000	-1.124900	-0.012435
0.060000	-1.124900	-0.013678
0.070000	-1.124900	-0.012435
0.080000	-1.124900	-0.012435
0.090000	-1.124900	-0.011191
<END DATA>
<INFO>
Date:	Tue, May 31, 2022
Time:	12:58:57.024
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994795
Load Cell Offset:	-4.881250
Load Cell Calibration Date:	2022-05-31
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	0.002500
Stage Velocity, mm/s:	0.0050
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.124900	0.000000
0.010000	-1.124900	0.000000
0.020000	-1.124900	0.000000
0.030000	-1.124900	-0.001243
0.040000	-1.124900	-0.001243
0.050000	-1.124900	-0.002487
0.060000	-1.124900	-0.001243
0.070000	-1.124900	-0.001243
0.080000	-1.124900	0.000000
0.090000	-1.124900	0.000000
0.100000	-1.124900	0.000000
0.110000	-1.124900	0.000000
0.120000	-1.124900	-0.001243
0.130000	-1.124900	-0.001243
0.140000	-1.124900	-0.001243
0.150000	-1.124900	0.000000
0.160000	-1.124900	0.000000
0.170000	-1.124900	0.000000
0.180000	-1.124900	0.000000
0.190000	-1.124900	-0.001243
0.200000	-1.124900	-0.001243
0.210000	-1.124900	-0.001243
0.220000	-1.124900	0.000000
0.230000	-1.124900	-0.002487
0.240000	-1.124900	-0.001243
0.250000	-1.124900	0.000000
0.260000	-1.124900	0.000000
0.270000	-1.124900	0.000000
0.280000	-1.124900	-0.001243
0.290000	-1.124900	-0.001243
0.300000	-1.124900	-0.002487
0.310000	-1.124900	-0.001243
0.320000	-1.124900	-0.002487
0.330000	-1.124900	0.000000
0.340000	-1.124900	-0.001243
0.350000	-1.124900	-0.001243
0.360000	-1.124900	0.000000
0.370000	-1.124900	-0.001243
0.380000	-1.124900	0.000000
0.390000	-1.124900	-0.001243
0.400000	-1.124900	-0.001243
0.410000	-1.124900	-0.001243
0.420000	-1.124900	-0.001243
0.430000	-1.124900	-0.001243
0.440000	-1.124900	-0.001243
0.450000	-1.124900	-0.001243
0.460000	-1.124900	-0.001243
0.470000	-1.124900	-0.001243
0.480000	-1.124900	-0.001243
0.490000	-1.124900	0.000000
0.500000	-1.124900	0.000000
0.510000	-1.124900	0.000000
0.520000	-1.124900	-0.001243
0.530000	-1.124900	-0.002487
0.540000	-1.124900	-0.002487
0.550000	-1.124900	-0.001243
0.560000	-1.124900	0.000000
0.570000	-1.124900	-0.001243
0.580000	-1.124900	-0.001243
0.590000	-1.124900	-0.001243
0.600000	-1.124900	-0.001243
0.610000	-1.124900	0.000000
0.620000	-1.124900	-0.001243
0.630000	-1.124900	-0.001243
0.640000	-1.124900	-0.001243
0.650000	-1.124900	0.000000
0.660000	-1.124900	-0.001243
0.670000	-1.124900	-0.001243
0.680000	-1.124900	-0.001243
0.690000	-1.124900	0.000000
0.700000	-1.124900	-0.001243
0.710000	-1.124800	-0.001243
0.720000	-1.124800	-0.001243
0.730000	-1.124800	-0.001243
0.740000	-1.124700	-0.001243
0.750000	-1.124600	-0.001243
0.760000	-1.124500	-0.001243
0.770000	-1.124400	-0.001243
0.780000	-1.124400	-0.001243
0.790000	-1.124300	-0.001243
0.800000	-1.124300	0.000000
0.810000	-1.124200	-0.001243
0.820000	-1.124100	-0.001243
0.830000	-1.124100	-0.001243
0.840000	-1.124000	-0.002487
0.850000	-1.124000	-0.001243
0.860000	-1.123900	-0.001243
0.870000	-1.123900	0.000000
0.880000	-1.123800	0.000000
0.890000	-1.123800	0.000000
0.900000	-1.123800	-0.001243
0.910000	-1.123700	-0.001243
0.920000	-1.123700	-0.001243
0.930000	-1.123700	0.000000
0.940000	-1.123600	0.000000
0.950000	-1.123600	-0.001243
0.960000	-1.123500	-0.001243
0.970000	-1.123500	-0.001243
0.980000	-1.123500	-0.001243
0.990000	-1.123400	-0.001243
1.000000	-1.123400	-0.002487
1.010000	-1.123300	-0.001243
1.020000	-1.123300	-0.002487
1.030000	-1.123200	-0.001243
1.040000	-1.123200	-0.002487
1.050000	-1.123200	-0.001243
1.060000	-1.123200	0.000000
1.070000	-1.123100	-0.001243
1.080000	-1.123000	-0.001243
1.090000	-1.123000	-0.001243
1.100000	-1.122900	0.000000
1.110000	-1.122800	-0.001243
1.120000	-1.122700	-0.001243
1.130000	-1.122600	-0.001243
1.140000	-1.122600	-0.002487
1.150000	-1.122500	-0.002487
1.160000	-1.122500	-0.001243
1.170000	-1.122400	0.000000
1.180000	-1.122400	0.000000
1.190000	-1.122400	0.000000
1.200000	-1.122400	0.000000
1.210000	-1.122300	0.000000
1.220000	-1.122300	0.000000
1.230000	-1.122300	-0.001243
1.240000	-1.122200	-0.002487
1.250000	-1.122200	-0.002487
1.260000	-1.122100	0.000000
1.270000	-1.122000	-0.001243
1.280000	-1.122000	-0.001243
1.290000	-1.121900	-0.001243
1.300000	-1.121800	0.000000
1.310000	-1.121700	0.000000
1.320000	-1.121700	-0.001243
1.330000	-1.121600	-0.001243
1.340000	-1.121600	-0.001243
1.350000	-1.121500	-0.001243
1.360000	-1.121500	-0.001243
1.370000	-1.121400	-0.001243
1.380000	-1.121400	0.000000
1.390000	-1.121300	0.000000
1.400000	-1.121300	0.000000
1.410000	-1.121200	-0.001243
1.420000	-1.121100	-0.001243
1.430000	-1.121100	-0.001243
1.440000	-1.121000	-0.001243
1.450000	-1.121000	-0.001243
1.460000	-1.121000	-0.001243
1.470000	-1.120900	-0.001243
1.480000	-1.120900	-0.001243
1.490000	-1.120900	-0.001243
1.500000	-1.120800	-0.001243
1.510000	-1.120800	0.000000
1.520000	-1.120800	0.000000
1.530000	-1.120700	0.000000
1.540000	-1.120700	-0.001243
1.550000	-1.120600	-0.001243
1.560000	-1.120600	-0.002487
1.570000	-1.120500	-0.001243
1.580000	-1.120400	-0.001243
1.590000	-1.120400	-0.002487
1.600000	-1.120300	-0.002487
1.610000	-1.120200	-0.001243
1.620000	-1.120100	-0.001243
1.630000	-1.120000	-0.001243
1.640000	-1.120000	-0.001243
1.650000	-1.119900	-0.001243
1.660000	-1.119900	-0.001243
1.670000	-1.119800	-0.001243
1.680000	-1.119800	-0.001243
1.690000	-1.119800	-0.001243
1.700000	-1.119700	-0.001243
1.710000	-1.119700	-0.001243
1.720000	-1.119700	-0.001243
1.730000	-1.119700	-0.001243
1.740000	-1.119700	-0.001243
1.750000	-1.119600	0.000000
1.760000	-1.119600	0.000000
1.770000	-1.119600	0.000000
1.780000	-1.119600	-0.001243
1.790000	-1.119500	-0.002487
1.800000	-1.119500	-0.001243
1.810000	-1.119400	-0.001243
1.820000	-1.119300	0.000000
1.830000	-1.119300	0.000000
1.840000	-1.119200	0.000000
1.850000	-1.119100	-0.001243
1.860000	-1.119000	-0.001243
1.870000	-1.118900	-0.002487
1.880000	-1.118800	-0.001243
1.890000	-1.118800	-0.001243
1.900000	-1.118700	-0.001243
1.910000	-1.118700	-0.001243
1.920000	-1.118600	-0.001243
1.930000	-1.118600	0.000000
1.940000	-1.118600	0.000000
1.950000	-1.118500	-0.001243
1.960000	-1.118500	0.000000
1.970000	-1.118500	0.000000
1.980000	-1.118400	0.000000
1.990000	-1.118400	-0.001243
2.000000	-1.118300	-0.001243
2.010000	-1.118300	0.000000
2.020000	-1.118300	0.000000
2.030000	-1.118200	-0.001243
2.040000	-1.118200	-0.001243
2.050000	-1.118200	0.000000
2.060000	-1.118100	-0.001243
2.070000	-1.118100	-0.001243
2.080000	-1.118000	-0.002487
2.090000	-1.117900	-0.001243
2.100000	-1.117900	0.000000
2.110000	-1.117800	0.000000
2.120000	-1.117800	0.000000
2.130000	-1.117700	-0.002487
2.140000	-1.117700	-0.001243
2.150000	-1.117600	-0.001243
2.160000	-1.117500	0.000000
2.170000	-1.117400	0.000000
2.180000	-1.117400	-0.001243
2.190000	-1.117300	-0.001243
2.200000	-1.117300	-0.001243
2.210000	-1.117200	-0.001243
2.220000	-1.117200	-0.001243
2.230000	-1.117100	-0.001243
2.240000	-1.117100	-0.001243
2.250000	-1.117000	0.000000
2.260000	-1.117000	-0.001243
2.270000	-1.117000	-0.001243
2.280000	-1.116900	-0.001243
2.290000	-1.116900	0.000000
2.300000	-1.116900	0.000000
2.310000	-1.116800	-0.001243
2.320000	-1.116800	-0.001243
2.330000	-1.116700	-0.001243
2.340000	-1.116700	0.000000
2.350000	-1.116600	0.000000
2.360000	-1.116600	0.000000
2.370000	-1.116500	0.000000
2.380000	-1.116500	-0.001243
2.390000	-1.116400	-0.001243
2.400000	-1.116400	-0.001243
2.410000	-1.116300	-0.001243
2.420000	-1.116300	0.000000
2.430000	-1.116200	-0.001243
2.440000	-1.116200	0.000000
2.450000	-1.116100	-0.001243
2.460000	-1.116100	-0.001243
2.470000	-1.116000	0.000000
2.480000	-1.116000	0.000000
2.490000	-1.115900	0.000000
2.500000	-1.115900	-0.001243
2.510000	-1.115800	-0.001243
2.520000	-1.115800	-0.001243
2.530000	-1.115700	0.000000
2.540000	-1.115700	-0.001243
2.550000	-1.115600	-0.001243
2.560000	-1.115600	-0.001243
2.570000	-1.115500	-0.001243
2.580000	-1.115500	-0.001243
2.590000	-1.115400	0.000000
2.600000	-1.115400	-0.001243
2.610000	-1.115300	-0.001243
2.620000	-1.115300	-0.001243
2.630000	-1.115200	-0.001243
2.640000	-1.115200	-0.001243
2.650000	-1.115200	-0.001243
2.660000	-1.115100	-0.001243
2.670000	-1.115100	-0.001243
2.680000	-1.115000	0.000000
2.690000	-1.114900	0.000000
2.700000	-1.114900	0.000000
2.710000	-1.114800	0.000000
2.720000	-1.114800	-0.001243
2.730000	-1.114700	-0.001243
2.740000	-1.114700	0.000000
2.750000	-1.114600	-0.001243
2.760000	-1.114600	-0.001243
2.770000	-1.114500	-0.001243
2.780000	-1.114400	-0.001243
2.790000	-1.114400	-0.001243
2.800000	-1.114300	-0.001243
2.810000	-1.114300	-0.001243
2.820000	-1.114200	-0.001243
2.830000	-1.114200	-0.001243
2.840000	-1.114100	0.000000
2.850000	-1.114100	0.000000
2.860000	-1.114000	0.000000
2.870000	-1.114000	-0.001243
2.880000	-1.114000	-0.001243
2.890000	-1.113900	-0.001243
2.900000	-1.113900	0.000000
2.910000	-1.113900	0.000000
2.920000	-1.113800	-0.002487
2.930000	-1.113800	-0.001243
2.940000	-1.113700	0.000000
2.950000	-1.113700	-0.001243
2.960000	-1.113600	-0.001243
2.970000	-1.113600	0.000000
2.980000	-1.113500	-0.001243
2.990000	-1.113500	-0.001243
3.000000	-1.113400	-0.001243
3.010000	-1.113300	-0.001243
3.020000	-1.113300	0.000000
3.030000	-1.113200	0.000000
3.040000	-1.113200	-0.001243
3.050000	-1.113100	-0.001243
3.060000	-1.113000	0.000000
3.070000	-1.113000	-0.001243
3.080000	-1.112900	-0.001243
3.090000	-1.112900	-0.001243
3.100000	-1.112800	-0.001243
3.110000	-1.112800	-0.001243
3.120000	-1.112800	-0.002487
3.130000	-1.112700	-0.001243
3.140000	-1.112700	-0.001243
3.150000	-1.112600	-0.001243
3.160000	-1.112600	-0.001243
3.170000	-1.112600	-0.001243
3.180000	-1.112500	-0.001243
3.190000	-1.112500	-0.001243
3.200000	-1.112500	0.001243
3.210000	-1.112400	0.000000
3.220000	-1.112400	0.000000
3.230000	-1.112300	-0.001243
3.240000	-1.112200	-0.001243
3.250000	-1.112200	0.000000
3.260000	-1.112100	-0.001243
3.270000	-1.112000	-0.001243
3.280000	-1.111900	-0.001243
3.290000	-1.111800	0.000000
3.300000	-1.111700	-0.001243
3.310000	-1.111700	0.000000
3.320000	-1.111600	-0.001243
3.330000	-1.111500	0.000000
3.340000	-1.111500	0.000000
3.350000	-1.111500	-0.001243
3.360000	-1.111500	0.000000
3.370000	-1.111400	0.000000
3.380000	-1.111400	0.000000
3.390000	-1.111400	0.000000
3.400000	-1.111400	0.000000
3.410000	-1.111400	0.000000
3.420000	-1.111300	-0.001243
3.430000	-1.111300	-0.001243
3.440000	-1.111300	0.000000
3.450000	-1.111200	0.000000
3.460000	-1.111200	-0.001243
3.470000	-1.111200	-0.001243
3.480000	-1.111100	0.000000
3.490000	-1.111000	0.000000
3.500000	-1.111000	0.000000
3.510000	-1.110900	-0.001243
3.520000	-1.110800	-0.001243
3.530000	-1.110700	0.000000
3.540000	-1.110600	0.000000
3.550000	-1.110600	0.000000
3.560000	-1.110500	0.000000
3.570000	-1.110500	0.000000
3.580000	-1.110400	-0.001243
3.590000	-1.110400	-0.001243
3.600000	-1.110300	-0.001243
3.610000	-1.110300	0.000000
3.620000	-1.110300	-0.001243
3.630000	-1.110200	-0.001243
3.640000	-1.110100	-0.001243
3.650000	-1.110100	-0.001243
3.660000	-1.110000	-0.001243
3.670000	-1.110000	-0.001243
3.680000	-1.109900	0.000000
3.690000	-1.109900	-0.001243
3.700000	-1.109900	-0.002487
3.710000	-1.109800	-0.001243
3.720000	-1.109700	0.000000
3.730000	-1.109700	-0.001243
3.740000	-1.109700	0.000000
3.750000	-1.109600	0.001243
3.760000	-1.109600	-0.001243
3.770000	-1.109600	-0.001243
3.780000	-1.109500	0.000000
3.790000	-1.109400	0.000000
3.800000	-1.109400	-0.001243
3.810000	-1.109400	-0.001243
3.820000	-1.109300	0.000000
3.830000	-1.109200	0.000000
3.840000	-1.109200	0.000000
3.850000	-1.109100	0.000000
3.860000	-1.109100	-0.001243
3.870000	-1.109000	0.000000
3.880000	-1.109000	0.001243
3.890000	-1.108900	0.000000
3.900000	-1.108800	-0.001243
3.910000	-1.108800	0.000000
3.920000	-1.108700	-0.001243
3.930000	-1.108700	-0.001243
3.940000	-1.108600	0.000000
3.950000	-1.108600	0.000000
3.960000	-1.108500	-0.001243
3.970000	-1.108500	0.000000
3.980000	-1.108500	0.000000
3.990000	-1.108400	0.000000
4.000000	-1.108400	0.000000
4.010000	-1.108300	0.000000
4.020000	-1.108300	0.000000
4.030000	-1.108200	-0.001243
4.040000	-1.108200	-0.001243
4.050000	-1.108200	0.000000
4.060000	-1.108100	0.000000
4.070000	-1.108000	-0.001243
4.080000	-1.108000	0.000000
4.090000	-1.107900	0.000000
4.100000	-1.107800	0.000000
4.110000	-1.107800	0.000000
4.120000	-1.107800	0.000000
4.130000	-1.107700	0.000000
4.140000	-1.107700	0.000000
4.150000	-1.107600	0.000000
4.160000	-1.107600	0.000000
4.170000	-1.107500	0.000000
4.180000	-1.107500	0.000000
4.190000	-1.107500	0.001243
4.200000	-1.107400	0.000000
4.210000	-1.107300	-0.001243
4.220000	-1.107200	-0.001243
4.230000	-1.107100	0.000000
4.240000	-1.107100	-0.001243
4.250000	-1.107000	0.000000
4.260000	-1.107000	0.000000
4.270000	-1.106900	-0.001243
4.280000	-1.106900	0.000000
4.290000	-1.106800	0.000000
4.300000	-1.106800	-0.001243
4.310000	-1.106700	0.000000
4.320000	-1.106700	0.000000
4.330000	-1.106700	-0.001243
4.340000	-1.106600	-0.001243
4.350000	-1.106600	0.000000
4.360000	-1.106500	-0.001243
4.370000	-1.106500	-0.002487
4.380000	-1.106400	-0.001243
4.390000	-1.106400	0.000000
4.400000	-1.106400	-0.001243
4.410000	-1.106300	-0.002487
4.420000	-1.106300	-0.001243
4.430000	-1.106300	-0.001243
4.440000	-1.106200	0.000000
4.450000	-1.106200	0.000000
4.460000	-1.106100	0.000000
4.470000	-1.106100	0.000000
4.480000	-1.106000	-0.001243
4.490000	-1.105900	0.000000
4.500000	-1.105700	-0.001243
4.510000	-1.105600	0.000000
4.520000	-1.105500	0.000000
4.530000	-1.105500	-0.001243
4.540000	-1.105400	-0.001243
4.550000	-1.105400	-0.001243
4.560000	-1.105400	-0.001243
4.570000	-1.105300	-0.001243
4.580000	-1.105300	-0.001243
4.590000	-1.105300	-0.001243
4.600000	-1.105300	0.000000
4.610000	-1.105200	-0.001243
4.620000	-1.105200	0.000000
4.630000	-1.105200	0.000000
4.640000	-1.105200	-0.001243
4.650000	-1.105200	0.000000
4.660000	-1.105100	0.000000
4.670000	-1.105100	0.000000
4.680000	-1.105100	-0.001243
4.690000	-1.105000	-0.001243
4.700000	-1.104900	-0.001243
4.710000	-1.104800	0.000000
4.720000	-1.104700	-0.001243
