<Mach-1 File>
<INFO>
Date:	Tue, May 31, 2022
Time:	13:19:29.424
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.994795
Load Cell Offset:	-4.881250
Load Cell Calibration Date:	2022-05-31
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-1.4500
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.454200	-0.007461
0.010000	-1.454200	-0.008704
0.020000	-1.454200	-0.007461
0.030000	-1.454200	-0.007461
0.040000	-1.454200	-0.008704
0.050000	-1.454200	-0.007461
0.060000	-1.454200	-0.008704
0.070000	-1.454200	-0.007461
0.080000	-1.454200	-0.007461
0.090000	-1.454200	-0.007461
0.100000	-1.454200	-0.007461
0.110000	-1.454200	-0.007461
0.120000	-1.454200	-0.007461
0.130000	-1.454200	-0.008704
0.140000	-1.454200	-0.007461
0.150000	-1.454200	-0.008704
0.160000	-1.454200	-0.007461
0.170000	-1.454200	-0.008704
0.180000	-1.454200	-0.008704
0.190000	-1.453800	-0.007461
0.200000	-1.452900	-0.004974
0.210000	-1.451800	-0.004974
0.220000	-1.450500	-0.004974
0.230000	-1.449500	-0.007461
0.240000	-1.449300	-0.007461
0.250000	-1.449200	-0.008704
0.260000	-1.449200	-0.008704
0.270000	-1.449200	-0.006217
0.280000	-1.449200	-0.006217
0.290000	-1.449200	-0.004974
0.300000	-1.449200	-0.006217
0.310000	-1.449200	-0.006217
0.320000	-1.449200	-0.004974
0.330000	-1.449200	-0.004974
0.340000	-1.449200	-0.006217
0.350000	-1.449200	-0.007461
0.360000	-1.449200	-0.007461
0.370000	-1.449200	-0.004974
0.380000	-1.449200	-0.004974
0.390000	-1.449200	-0.004974
0.400000	-1.449200	-0.006217
0.410000	-1.449200	-0.006217
0.420000	-1.449200	-0.004974
0.430000	-1.449200	-0.007461
0.440000	-1.449200	-0.006217
0.450000	-1.449200	-0.007461
0.460000	-1.449200	-0.007461
0.470000	-1.449200	-0.006217
0.480000	-1.449200	-0.006217
0.490000	-1.449200	-0.006217
0.500000	-1.449200	-0.007461
0.510000	-1.449200	-0.006217
0.520000	-1.449200	-0.007461
0.530000	-1.449300	-0.006217
0.540000	-1.449300	-0.004974
0.550000	-1.449300	-0.006217
0.560000	-1.449400	-0.006217
0.570000	-1.449500	-0.007461
0.580000	-1.449600	-0.007461
0.590000	-1.449700	-0.007461
0.600000	-1.449700	-0.006217
0.610000	-1.449800	-0.006217
0.620000	-1.449800	-0.006217
0.630000	-1.449900	-0.006217
0.640000	-1.449900	-0.007461
0.650000	-1.450000	-0.007461
0.660000	-1.450000	-0.006217
0.670000	-1.450000	-0.007461
0.680000	-1.450000	-0.006217
0.690000	-1.450000	-0.007461
0.700000	-1.450000	-0.006217
0.710000	-1.450100	-0.006217
0.720000	-1.450100	-0.006217
0.730000	-1.450100	-0.006217
0.740000	-1.450100	-0.008704
0.750000	-1.450100	-0.007461
0.760000	-1.450100	-0.004974
0.770000	-1.450100	-0.006217
0.780000	-1.450100	-0.006217
0.790000	-1.450100	-0.007461
0.800000	-1.450100	-0.007461
0.810000	-1.450100	-0.007461
0.820000	-1.450100	-0.007461
0.830000	-1.450100	-0.006217
0.840000	-1.450100	-0.007461
0.850000	-1.450100	-0.006217
0.860000	-1.450100	-0.006217
0.870000	-1.450100	-0.007461
0.880000	-1.450100	-0.007461
0.890000	-1.450100	-0.007461
0.900000	-1.450100	-0.007461
0.910000	-1.450100	-0.008704
0.920000	-1.450100	-0.007461
0.930000	-1.450100	-0.006217
0.940000	-1.450100	-0.007461
0.950000	-1.450100	-0.006217
0.960000	-1.450100	-0.007461
