<Mach-1 File>
<INFO>
Date:	Thu, Jun 02, 2022
Time:	12:17:34.226
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.995755
Load Cell Offset:	-4.825000
Load Cell Calibration Date:	2022-06-02
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-1.0260
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.000000	-0.004979
0.010000	-1.000000	-0.003734
0.020000	-1.000000	-0.003734
0.030000	-1.000000	-0.003734
0.040000	-1.000000	-0.003734
0.050000	-1.000000	-0.002489
0.060000	-1.000000	-0.004979
0.070000	-1.000000	-0.004979
0.080000	-1.000000	-0.003734
0.090000	-1.000000	-0.002489
0.100000	-1.000000	-0.003734
0.110000	-1.000000	-0.004979
0.120000	-1.000000	-0.006223
0.130000	-1.000000	-0.006223
0.140000	-1.000000	-0.003734
0.150000	-1.000000	-0.003734
0.160000	-1.000000	-0.004979
0.170000	-1.000000	-0.004979
0.180000	-1.000800	-0.004979
0.190000	-1.003500	-0.011202
0.200000	-1.007400	-0.012447
0.210000	-1.010400	-0.007468
0.220000	-1.013000	-0.002489
0.230000	-1.016200	-0.002489
0.240000	-1.017900	-0.002489
0.250000	-1.021400	-0.004979
0.260000	-1.024800	-0.009958
0.270000	-1.025000	0.001245
0.280000	-1.025300	0.001245
0.290000	-1.025800	-0.002489
0.300000	-1.026000	-0.004979
0.310000	-1.026100	-0.003734
0.320000	-1.026100	-0.003734
0.330000	-1.026200	-0.003734
0.340000	-1.026200	-0.004979
0.350000	-1.026200	-0.003734
0.360000	-1.026200	-0.003734
0.370000	-1.026200	-0.004979
0.380000	-1.026200	-0.004979
0.390000	-1.026200	-0.004979
0.400000	-1.026200	-0.004979
0.410000	-1.026200	-0.004979
0.420000	-1.026200	-0.004979
0.430000	-1.026200	-0.004979
0.440000	-1.026200	-0.003734
0.450000	-1.026200	-0.004979
0.460000	-1.026200	-0.004979
0.470000	-1.026200	-0.004979
0.480000	-1.026200	-0.004979
0.490000	-1.026200	-0.004979
0.500000	-1.026200	-0.004979
0.510000	-1.026200	-0.004979
0.520000	-1.026200	-0.006223
0.530000	-1.026200	-0.004979
0.540000	-1.026200	-0.006223
0.550000	-1.026200	-0.006223
0.560000	-1.026200	-0.006223
0.570000	-1.026200	-0.004979
0.580000	-1.026200	-0.003734
0.590000	-1.026200	-0.003734
0.600000	-1.026200	-0.003734
0.610000	-1.026200	-0.006223
0.620000	-1.026200	-0.004979
0.630000	-1.026200	-0.004979
0.640000	-1.026200	-0.004979
0.650000	-1.026200	-0.004979
0.660000	-1.026200	-0.004979
0.670000	-1.026200	-0.004979
0.680000	-1.026200	-0.004979
0.690000	-1.026200	-0.003734
0.700000	-1.026200	-0.004979
0.710000	-1.026200	-0.004979
0.720000	-1.026200	-0.004979
0.730000	-1.026200	-0.004979
0.740000	-1.026200	-0.006223
0.750000	-1.026200	-0.004979
0.760000	-1.026200	-0.004979
0.770000	-1.026200	-0.004979
0.780000	-1.026200	-0.004979
0.790000	-1.026200	-0.004979
0.800000	-1.026200	-0.003734
0.810000	-1.026200	-0.004979
0.820000	-1.026200	-0.004979
0.830000	-1.026200	-0.006223
0.840000	-1.026200	-0.004979
0.850000	-1.026200	-0.004979
0.860000	-1.026200	-0.004979
0.870000	-1.026200	-0.004979
0.880000	-1.026200	-0.003734
0.890000	-1.026200	-0.004979
0.900000	-1.026200	-0.004979
0.910000	-1.026200	-0.004979
0.920000	-1.026200	-0.004979
0.930000	-1.026200	-0.004979
0.940000	-1.026200	-0.006223
0.950000	-1.026200	-0.004979
0.960000	-1.026200	-0.004979
0.970000	-1.026200	-0.003734
0.980000	-1.026200	-0.004979
0.990000	-1.026200	-0.004979
1.000000	-1.026200	-0.004979
1.010000	-1.026200	-0.004979
1.020000	-1.026200	-0.006223
1.030000	-1.026200	-0.006223
1.040000	-1.026200	-0.004979
1.050000	-1.026200	-0.004979
1.060000	-1.026200	-0.004979
1.070000	-1.026200	-0.004979
1.080000	-1.026200	-0.004979
1.090000	-1.026200	-0.004979
1.100000	-1.026200	-0.004979
1.110000	-1.026200	-0.004979
1.120000	-1.026200	-0.006223
1.130000	-1.026200	-0.006223
1.140000	-1.026200	-0.004979
1.150000	-1.026200	-0.003734
1.160000	-1.026200	-0.004979
1.170000	-1.026200	-0.004979
1.180000	-1.026200	-0.004979
1.190000	-1.026200	-0.006223
<END DATA>
<INFO>
Date:	Thu, Jun 02, 2022
Time:	12:17:35.426
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.995755
Load Cell Offset:	-4.825000
Load Cell Calibration Date:	2022-06-02
<END INFO>
<Zero Load>
Function without controls
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.026200	-0.006223
0.010000	-1.026200	-0.004979
0.020000	-1.026200	-0.003734
0.030000	-1.026100	-0.004979
0.040000	-1.026100	-0.004979
0.050000	-1.026100	-0.006223
0.060000	-1.026100	-0.006223
0.070000	-1.026100	-0.006223
0.080000	-1.026100	-0.004979
0.090000	-1.026100	-0.004979
<END DATA>
<INFO>
Date:	Thu, Jun 02, 2022
Time:	12:17:35.526
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.995755
Load Cell Offset:	-4.825000
Load Cell Calibration Date:	2022-06-02
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	0.002500
Stage Velocity, mm/s:	0.0050
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.026100	0.000000
0.010000	-1.026100	0.000000
0.020000	-1.026100	0.000000
0.030000	-1.026100	-0.001245
0.040000	-1.026100	0.001245
0.050000	-1.026100	0.000000
0.060000	-1.026100	0.000000
0.070000	-1.026100	0.000000
0.080000	-1.026100	0.000000
0.090000	-1.026000	0.000000
0.100000	-1.026000	0.000000
0.110000	-1.026000	0.000000
0.120000	-1.026000	0.000000
0.130000	-1.026000	0.000000
0.140000	-1.026000	0.001245
0.150000	-1.026000	0.001245
0.160000	-1.026000	0.001245
0.170000	-1.026000	0.001245
0.180000	-1.026000	0.000000
0.190000	-1.026000	0.000000
0.200000	-1.026000	0.000000
0.210000	-1.026000	0.000000
0.220000	-1.026000	0.001245
0.230000	-1.026000	0.000000
0.240000	-1.026000	0.000000
0.250000	-1.026000	0.000000
0.260000	-1.026000	0.000000
0.270000	-1.026000	0.000000
0.280000	-1.026000	0.001245
0.290000	-1.026000	0.000000
0.300000	-1.026000	0.000000
0.310000	-1.026000	0.001245
0.320000	-1.026000	0.000000
0.330000	-1.026000	-0.001245
0.340000	-1.026000	0.000000
0.350000	-1.026000	0.001245
0.360000	-1.026000	0.000000
0.370000	-1.026000	0.000000
0.380000	-1.026000	0.000000
0.390000	-1.026000	-0.001245
0.400000	-1.026000	-0.001245
0.410000	-1.026000	-0.001245
0.420000	-1.026000	0.000000
0.430000	-1.026000	0.000000
0.440000	-1.025900	0.001245
0.450000	-1.025900	0.001245
0.460000	-1.025900	0.000000
0.470000	-1.025900	-0.001245
0.480000	-1.025900	0.000000
0.490000	-1.025900	0.000000
0.500000	-1.025900	0.000000
0.510000	-1.025900	0.000000
