<Mach-1 File>
<INFO>
Date:	Thu, Apr 14, 2022
Time:	11:25:39.752
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.996524
Load Cell Offset:	-4.827500
Load Cell Calibration Date:	2022-04-14
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-1.2000
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.500000	-0.004983
0.010000	-1.500000	-0.004983
0.020000	-1.500000	-0.004983
0.030000	-1.500000	-0.006228
0.040000	-1.500000	-0.004983
0.050000	-1.500000	-0.006228
0.060000	-1.500000	-0.006228
0.070000	-1.500000	-0.006228
0.080000	-1.500000	-0.006228
0.090000	-1.500000	-0.004983
0.100000	-1.500000	-0.004983
0.110000	-1.500000	-0.004983
0.120000	-1.500000	-0.006228
0.130000	-1.500000	-0.007474
0.140000	-1.500000	-0.004983
0.150000	-1.500000	-0.006228
0.160000	-1.500000	-0.004983
0.170000	-1.500000	-0.004983
0.180000	-1.500000	-0.006228
0.190000	-1.499900	-0.004983
0.200000	-1.498800	-0.004983
0.210000	-1.492300	0.006228
0.220000	-1.487700	0.007474
0.230000	-1.485800	-0.012457
0.240000	-1.482600	-0.011211
0.250000	-1.479800	-0.007474
0.260000	-1.477000	-0.002491
0.270000	-1.474500	-0.004983
0.280000	-1.471700	-0.006228
0.290000	-1.469700	-0.006228
0.300000	-1.466900	-0.006228
0.310000	-1.464100	-0.002491
0.320000	-1.461600	-0.003737
0.330000	-1.459300	-0.006228
0.340000	-1.456900	-0.006228
0.350000	-1.454100	-0.004983
0.360000	-1.451400	-0.002491
0.370000	-1.448900	-0.004983
0.380000	-1.446300	-0.004983
0.390000	-1.443900	-0.004983
0.400000	-1.441800	-0.007474
0.410000	-1.439600	-0.006228
0.420000	-1.436800	-0.003737
0.430000	-1.434400	-0.002491
0.440000	-1.431900	-0.003737
0.450000	-1.428900	-0.003737
0.460000	-1.426600	-0.003737
0.470000	-1.424000	-0.006228
0.480000	-1.421600	-0.004983
0.490000	-1.419200	-0.003737
0.500000	-1.416900	-0.006228
0.510000	-1.414400	-0.003737
0.520000	-1.411700	-0.003737
0.530000	-1.409300	-0.002491
0.540000	-1.406900	-0.003737
0.550000	-1.404400	-0.003737
