<Mach-1 File>
<INFO>
Date:	Tue, Apr 26, 2022
Time:	11:12:47.331
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561159
Mach-1 System Model:	V500c
Load Cell Name:	25gf - SN: 423140
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.996139
Load Cell Offset:	-4.840000
Load Cell Calibration Date:	2022-04-26
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	-1.5000
Velocity, mm/s:	0.2500
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	-1.700000	-0.011207
0.010000	-1.700000	-0.011207
0.020000	-1.700000	-0.008716
0.030000	-1.700000	-0.008716
0.040000	-1.700000	-0.007471
0.050000	-1.700000	-0.007471
0.060000	-1.700000	-0.008716
0.070000	-1.700000	-0.008716
0.080000	-1.700000	-0.008716
0.090000	-1.700000	-0.009961
0.100000	-1.700000	-0.012452
0.110000	-1.700000	-0.011207
0.120000	-1.700000	-0.008716
0.130000	-1.700000	-0.006226
0.140000	-1.700000	-0.007471
0.150000	-1.700000	-0.008716
0.160000	-1.700000	-0.009961
0.170000	-1.700000	-0.009961
0.180000	-1.700000	-0.008716
0.190000	-1.700000	-0.008716
0.200000	-1.700000	-0.009961
0.210000	-1.699900	-0.009961
0.220000	-1.696900	-0.006226
0.230000	-1.690100	0.006226
0.240000	-1.687600	-0.004981
0.250000	-1.684300	-0.014942
0.260000	-1.681400	-0.012452
0.270000	-1.678900	-0.009961
0.280000	-1.675900	-0.006226
0.290000	-1.673800	-0.008716
0.300000	-1.670400	-0.008716
0.310000	-1.668100	-0.009961
0.320000	-1.665900	-0.011207
0.330000	-1.663200	-0.008716
0.340000	-1.661000	-0.007471
0.350000	-1.658000	-0.006226
0.360000	-1.656000	-0.007471
0.370000	-1.653500	-0.011207
0.380000	-1.650300	-0.008716
0.390000	-1.648800	-0.009961
0.400000	-1.645800	-0.009961
0.410000	-1.643200	-0.007471
0.420000	-1.640800	-0.008716
0.430000	-1.638000	-0.007471
0.440000	-1.635500	-0.008716
0.450000	-1.633000	-0.007471
0.460000	-1.631200	-0.008716
0.470000	-1.628600	-0.008716
0.480000	-1.625800	-0.007471
0.490000	-1.623300	-0.008716
0.500000	-1.620800	-0.008716
0.510000	-1.618200	-0.008716
0.520000	-1.615500	-0.008716
0.530000	-1.613000	-0.008716
0.540000	-1.610300	-0.006226
0.550000	-1.608200	-0.007471
0.560000	-1.605800	-0.007471
0.570000	-1.603200	-0.008716
0.580000	-1.600800	-0.007471
0.590000	-1.598100	-0.004981
0.600000	-1.595900	-0.006226
0.610000	-1.593600	-0.008716
0.620000	-1.590500	-0.004981
0.630000	-1.588300	-0.007471
0.640000	-1.586000	-0.011207
0.650000	-1.583600	-0.008716
0.660000	-1.580800	-0.003736
0.670000	-1.578200	-0.004981
0.680000	-1.576000	-0.008716
0.690000	-1.573500	-0.008716
0.700000	-1.570700	-0.004981
0.710000	-1.568200	-0.004981
0.720000	-1.565600	-0.007471
0.730000	-1.562900	-0.007471
0.740000	-1.560700	-0.007471
0.750000	-1.558100	-0.004981
0.760000	-1.555700	-0.006226
0.770000	-1.553500	-0.008716
0.780000	-1.550700	-0.007471
0.790000	-1.547900	-0.006226
0.800000	-1.545500	-0.004981
0.810000	-1.543300	-0.006226
0.820000	-1.540900	-0.006226
0.830000	-1.538100	-0.006226
0.840000	-1.535500	-0.006226
0.850000	-1.533100	-0.004981
0.860000	-1.530600	-0.004981
0.870000	-1.528200	-0.006226
0.880000	-1.525800	-0.007471
0.890000	-1.523200	-0.006226
0.900000	-1.520700	-0.004981
0.910000	-1.518100	-0.006226
0.920000	-1.516000	-0.008716
0.930000	-1.513300	-0.004981
